Mt,Mk,L,J
"('království', 'nebeský', 31)","('Ježíš', 'říci', 23)","('boží', 'království', 30)","('Ježíš', 'říci', 59)"
"('syn', 'člověk', 31)","('boží', 'království', 12)","('syn', 'člověk', 26)","('Ježíš', 'odpovědět', 40)"
"('Ježíš', 'říci', 27)","('duch', 'zlý', 11)","('Ježíš', 'říci', 23)","('věčný', 'život', 18)"
"('Ježíš', 'odpovědět', 20)","('syn', 'člověk', 11)","('duch', 'svatý', 13)","('mít', 'život', 16)"
"('učedník', 'říci', 16)","('duch', 'čistý', 10)","('den', 'kdy', 12)","('Petr', 'Šimon', 15)"
"('mít', 'syn', 13)","('jít', 'říci', 10)","('pan', 'říci', 12)","('syn', 'člověk', 13)"
"('jít', 'říci', 12)","('učedník', 'říci', 10)","('pán', 'říci', 12)","('pan', 'říci', 12)"
"('farizeus', 'zákoník', 11)","('Magdala', 'Marie', 7)","('učedník', 'říci', 12)","('jít', 'říci', 11)"
"('nebeský', 'otec', 11)","('matka', 'otec', 7)","('jak', 'říci', 11)","('boží', 'syn', 10)"
"('prorok', 'ústa', 11)","('chtít', 'říci', 6)","('jít', 'říci', 10)","('otec', 'poslat', 10)"
